date,avg_price,max_price,min_price,std_price,negative_hours,peak_avg_price,offpeak_avg_price,avg_renewable_share_pct,avg_spark_spread,price_regime
2024-07-21,10.94,12.21,9.66,1.8,0,,10.94,,-59.06,Low (<50)
2024-07-22,8.87,18.62,1.94,3.98,0,8.15,9.74,,-61.13,Low (<50)
2024-07-23,7.96,12.05,3.6,2.44,0,7.15,8.92,,-62.04,Low (<50)
2024-07-24,6.66,12.89,-0.21,4.24,3,4.78,8.88,,-63.34,Low (<50)
2024-07-25,7.83,15.57,1.33,3.69,0,7.06,8.75,,-62.17,Low (<50)
2024-07-26,9.3,14.32,6.02,2.11,0,9.12,9.52,,-60.7,Low (<50)
2024-07-27,8.07,12.31,1.78,3.21,0,,8.07,,-61.93,Low (<50)
2024-07-28,4.4,11.57,-4.87,5.28,7,,4.4,,-65.6,Low (<50)
2024-07-29,7.15,17.81,-0.17,5.18,5,5.57,9.02,,-62.85,Low (<50)
2024-07-30,7.86,17.71,-0.01,4.87,1,6.55,9.41,,-62.14,Low (<50)
2024-07-31,7.95,13.62,1.14,3.52,0,6.65,9.48,,-62.05,Low (<50)
2024-08-01,9.46,13.81,6.04,2.2,0,8.97,10.05,,-60.54,Low (<50)
2024-08-02,9.46,14.62,5.06,2.41,0,8.96,10.05,,-60.54,Low (<50)
2024-08-03,7.57,13.66,0.41,4.13,0,,7.57,,-62.43,Low (<50)
2024-08-04,6.11,12.5,-0.22,4.58,1,,6.11,,-63.89,Low (<50)
2024-08-05,10.03,25.0,3.64,4.58,0,9.88,10.21,,-59.97,Low (<50)
2024-08-06,8.6,23.09,0.3,5.62,0,7.87,9.46,,-61.4,Low (<50)
2024-08-07,9.33,14.93,3.5,2.88,0,8.82,9.93,,-60.67,Low (<50)
2024-08-08,9.33,19.73,3.22,3.59,0,8.77,9.98,,-60.67,Low (<50)
2024-08-09,5.29,12.5,-0.08,4.3,3,3.77,7.08,,-64.71,Low (<50)
2024-08-10,5.12,13.3,-4.08,5.9,7,,5.12,,-64.88,Low (<50)
2024-08-11,5.42,13.72,-6.0,6.5,7,,5.43,,-64.58,Low (<50)
2024-08-12,9.15,22.48,0.7,5.79,0,8.01,10.5,,-60.84,Low (<50)
2024-08-13,9.94,20.54,4.04,4.19,0,9.84,10.06,,-60.06,Low (<50)
2024-08-14,10.97,21.89,7.28,3.3,0,10.97,10.98,,-59.03,Low (<50)
2024-08-15,8.45,16.03,0.0,4.85,0,6.82,10.38,,-61.55,Low (<50)
2024-08-16,10.89,24.31,4.76,5.07,0,11.08,10.66,,-59.11,Low (<50)
2024-08-17,9.36,14.92,3.94,3.22,0,,9.36,,-60.64,Low (<50)
2024-08-18,8.67,11.57,1.77,2.51,0,,8.67,,-61.33,Low (<50)
2024-08-19,10.8,20.38,7.89,3.53,0,11.18,10.35,,-59.2,Low (<50)
2024-08-20,9.15,15.88,1.82,3.71,0,8.41,10.03,,-60.85,Low (<50)
2024-08-21,5.19,14.04,-2.13,4.99,6,3.52,7.16,,-64.81,Low (<50)
2024-08-22,6.08,12.95,-0.43,4.55,5,4.23,8.26,,-63.92,Low (<50)
2024-08-23,4.4,12.32,-1.66,4.98,6,3.43,5.54,,-65.6,Low (<50)
2024-08-24,4.09,10.54,-4.42,5.28,7,,4.09,,-65.91,Low (<50)
2024-08-25,2.93,11.95,-2.0,5.12,13,,2.93,,-67.07,Low (<50)
2024-08-26,10.0,23.11,1.76,4.74,0,9.83,10.21,,-60.0,Low (<50)
2024-08-27,9.06,23.23,0.12,5.73,0,8.22,10.06,,-60.94,Low (<50)
2024-08-28,9.62,20.4,0.82,4.57,0,9.15,10.16,,-60.38,Low (<50)
2024-08-29,11.39,28.93,4.53,5.27,0,11.91,10.77,,-58.61,Low (<50)
