run_id,interval_datetime_utc,market_resolution,actual_price_eur_mwh,forecast_price_eur_mwh,charge_power_mw,discharge_power_mw,net_power_mw,soc_pct,hourly_cashflow_eur,cumulative_profit_eur
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T02:00:00Z,1h,183.55,178.51,0.296,0.0,-0.296,63.8,-54.34,-54.34
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T03:00:00Z,1h,196.76,189.14,0.0,0.0,0.0,63.8,-0.01,-54.34
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T04:00:00Z,1h,237.42,212.35,0.0,0.0,0.0,63.8,-0.01,-54.35
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T05:00:00Z,1h,262.08,227.43,0.0,1.0,1.0,10.0,262.07,207.72
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T06:00:00Z,1h,233.11,216.0,0.0,0.0,0.0,10.0,-0.01,207.71
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T07:00:00Z,1h,196.4,193.39,0.0,0.0,0.0,10.0,-0.01,207.7
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T08:00:00Z,1h,145.96,140.66,0.0,-0.0,-0.0,10.0,-0.01,207.69
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T09:00:00Z,1h,78.87,110.37,0.0,-0.0,-0.0,10.0,-0.01,207.69
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T10:00:00Z,1h,44.47,66.81,0.0,0.0,0.0,10.0,-0.01,207.68
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T11:00:00Z,1h,29.5,28.2,1.0,0.0,-1.0,56.5,-29.51,178.17
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T12:00:00Z,1h,46.2,48.68,0.72,0.0,-0.72,90.0,-33.29,144.88
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T13:00:00Z,1h,103.69,74.81,0.0,-0.0,-0.0,90.0,-0.01,144.87
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T14:00:00Z,1h,156.02,138.67,0.0,-0.0,-0.0,90.0,-0.01,144.86
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T15:00:00Z,1h,213.47,180.65,0.0,-0.0,-0.0,90.0,-0.01,144.85
87406aa8-03ee-45ed-a06c-9feae7f0ed77,2026-09-15T16:00:00Z,1h,251.51,233.37,0.0,0.0,0.0,90.0,-0.01,144.84
